TimeStamp,ch1,ch2,ch3,ch4
1237794.4813,-22231.2,-28169.02,-18003.28,-16008.33
1237794.4853,-22238.3,-28170.3,-18007.14,-16014.48
1237794.4893,-22244.27,-28172.07,-18005.28,-16005.14
1237794.4933,-22237.88,-28154.23,-17992.55,-15983.87
1237794.4973,-22246.94,-28178.74,-18005.18,-16005.66
1237794.5013,-22255.47,-28183.85,-18013.24,-16017.96
1237794.5053,-22247.79,-28169.92,-18003.18,-16005.57
1237794.5093,-22245.36,-28168.82,-17997.51,-15999.8
1237794.5133,-22248.46,-28163.87,-17997.65,-15995.22
1237794.5173,-22250.37,-28185.94,-18005.42,-16018.34
1237794.5213,-22252.18,-28183.65,-18009.38,-16025.69
1237794.5253,-22239.02,-28166.68,-17997.65,-16012.38
1237794.5293,-22230.29,-28162.53,-17987.21,-16007.38
1237794.5333,-22232.34,-28158.38,-17988.64,-16004.52
1237794.5373,-22232.82,-28171.49,-17994.36,-16009.33
1237794.5413,-22233.92,-28168.16,-17998.55,-16014.1
1237794.5453,-22235.01,-28162.77,-17999.84,-16006.09
1237794.5493,-22238.11,-28167.54,-18000.7,-16001.99
1237794.5533,-22240.31,-28164.49,-18002.46,-15999.99
1237794.5573,-22236.73,-28171.4,-18002.56,-15996.46
1237794.5613,-22235.83,-28163.01,-18001.7,-15991.4
1237794.5653,-22235.21,-28162.82,-18001.37,-15998.99
1237794.5693,-22238.92,-28171.26,-17999.79,-16001.99
1237794.5733,-22251.8,-28178.41,-18005.37,-16010.76
1237794.5773,-22261.96,-28200.49,-18015.96,-16032.08
1237794.5813,-22257.28,-28186.47,-18006.76,-16025.69
1237794.5853,-22257.86,-28180.55,-18004.94,-16023.92
1237794.5893,-22262.29,-28192.95,-18008.62,-16038.61
1237794.5933,-22264.91,-28190.43,-18013.62,-16039.71
1237794.5973,-22246.27,-28187.18,-18002.8,-16030.27
1237794.6013,-22236.25,-28169.73,-17997.22,-16013.91
1237794.6053,-22237.83,-28167.63,-18001.84,-16016.29
1237794.6093,-22237.16,-28172.21,-18004.28,-16015.72
1237794.6133,-22243.84,-28170.16,-18010.52,-16011.14
1237794.6173,-22236.54,-28177.41,-18009.47,-16010.81
1237794.6213,-22232.49,-28170.3,-18008.62,-16010.38
1237794.6253,-22234.92,-28168.01,-18009.43,-16010.48
1237794.6293,-22234.49,-28175.21,-18005.56,-16015.34
1237794.6333,-22231.77,-28166.44,-17998.17,-16009.9
1237794.6373,-22242.07,-28185.94,-18006.61,-16019.68
1237794.6413,-22237.3,-28171.88,-17997.12,-16005.76
1237794.6453,-22235.4,-28161.05,-17993.98,-15997.98
1237794.6493,-22238.07,-28165.34,-17992.55,-15997.32
1237794.6533,-22236.49,-28152.76,-17984.77,-15983.2
1237794.6573,-22237.3,-28173.93,-17989.16,-16010.43
1237794.6613,-22243.31,-28176.79,-17995.88,-16027.26
1237794.6653,-22250.23,-28177.98,-18003.9,-16035.37
1237794.6693,-22254.76,-28189.09,-18008.14,-16038.94
1237794.6733,-22259.33,-28192.86,-18016.91,-16043.28
1237794.6773,-22251.47,-28200.01,-18017.58,-16047.34
1237794.6813,-22248.41,-28193.91,-18017.96,-16048.05
1237794.6853,-22256.0,-28195.15,-18028.55,-16045.05
1237794.6893,-22256.0,-28197.63,-18025.45,-16036.8
1237794.6933,-22240.02,-28178.5,-18010.38,-16020.73
1237794.6973,-22236.06,-28185.18,-18008.62,-16018.73
1237794.7013,-22238.11,-28183.13,-18010.0,-16019.06
1237794.7053,-22234.44,-28173.55,-18003.61,-16013.81
1237794.7093,-22229.86,-28170.16,-17995.69,-16001.32
1237794.7133,-22230.2,-28158.24,-17993.98,-15985.87
1237794.7173,-22225.33,-28158.05,-17985.25,-15975.33
1237794.7213,-22236.87,-28165.96,-17993.4,-15994.22
1237794.7253,-22245.12,-28169.78,-17999.56,-16010.1
1237794.7293,-22239.35,-28168.01,-17990.16,-16005.95
1237794.7333,-22239.26,-28163.34,-17989.45,-16010.81
1237794.7373,-22233.35,-28166.49,-17987.02,-16006.42
1237794.7413,-22230.82,-28159.48,-17988.3,-15996.51
1237794.7453,-22240.93,-28171.83,-18005.95,-16015.72
1237794.7493,-22252.9,-28196.82,-18017.25,-16051.34
1237794.7533,-22240.59,-28183.03,-18006.52,-16046.24
1237794.7573,-22252.04,-28206.83,-18020.73,-16062.02
1237794.7613,-22250.85,-28195.48,-18018.3,-16043.76
1237794.7653,-22247.03,-28183.56,-18012.62,-16027.98
1237794.7693,-22252.42,-28191.81,-18012.86,-16028.74
1237794.7733,-22250.94,-28180.17,-18009.0,-16011.72
1237794.7773,-22248.56,-28188.52,-18009.14,-16011.1
1237794.7813,-22243.31,-28178.41,-18001.22,-16008.95
1237794.7853,-22250.37,-28176.45,-18005.8,-16014.15
1237794.7893,-22231.3,-28161.43,-17985.3,-15996.27
1237794.7933,-22231.87,-28154.57,-17984.54,-15994.31
1237794.7973,-22226.48,-28157.43,-17981.96,-15990.4
1237794.8013,-22226.53,-28157.52,-17988.49,-15996.74
1237794.8053,-22223.81,-28156.05,-17991.59,-16009.33
1237794.8093,-22221.85,-28161.34,-17988.11,-16012.72
1237794.8133,-22227.34,-28163.39,-17996.46,-16016.77
1237794.8173,-22231.96,-28187.04,-18008.14,-16038.23
1237794.8213,-22236.49,-28186.61,-18011.48,-16038.04
1237794.8253,-22242.88,-28188.04,-18016.58,-16040.33
1237794.8293,-22257.04,-28204.73,-18024.88,-16048.0
1237794.8333,-22259.14,-28198.44,-18023.83,-16038.52
1237794.8373,-22255.14,-28203.35,-18020.58,-16034.8
1237794.8413,-22237.54,-28176.36,-18000.6,-16011.14
1237794.8453,-22231.68,-28165.3,-17992.45,-16007.43
1237794.8493,-22233.82,-28175.41,-17991.45,-16016.91
1237794.8533,-22239.02,-28168.35,-17991.69,-16008.14
1237794.8573,-22238.83,-28177.65,-17994.02,-16008.0
1237794.8613,-22234.35,-28170.16,-17994.74,-16007.28
1237794.8653,-22227.05,-28155.28,-17990.83,-15994.79
1237794.8693,-22221.14,-28150.18,-17981.96,-15980.87
1237794.8733,-22209.22,-28126.34,-17971.23,-15953.3
1237794.8773,-22204.88,-28137.69,-17973.76,-15959.88
1237794.8813,-22203.4,-28140.93,-17977.43,-15982.06
1237794.8853,-22222.86,-28164.06,-18002.23,-16016.58
1237794.8893,-22231.44,-28180.46,-18010.43,-16027.26
1237794.8933,-22225.14,-28167.78,-18002.04,-16015.91
1237794.8973,-22220.9,-28177.69,-18000.56,-16019.78
1237794.9013,-22225.91,-28179.7,-18005.13,-16019.44
1237794.9053,-22219.42,-28164.68,-17994.74,-16002.37
1237794.9093,-22216.04,-28165.77,-17984.2,-15997.6
1237794.9133,-22229.24,-28173.35,-17993.64,-16008.0
1237794.9173,-22222.09,-28177.74,-17989.54,-16006.61
1237794.9213,-22217.8,-28166.11,-17986.01,-15995.5
1237794.9253,-22220.38,-28156.81,-17987.44,-15986.97
1237794.9293,-22210.6,-28155.04,-17975.71,-15987.97
1237794.9333,-22212.13,-28153.61,-17979.53,-15998.27
1237794.9373,-22222.81,-28175.02,-17993.4,-16017.25
1237794.9413,-22219.14,-28166.35,-17990.31,-16008.62
1237794.9453,-22204.5,-28139.31,-17975.38,-15981.2
1237794.9493,-22186.42,-28124.53,-17957.88,-15958.07
1237794.9533,-22178.94,-28110.03,-17951.35,-15941.24
1237794.9573,-22192.81,-28145.41,-17971.52,-15981.91
1237794.9613,-22197.92,-28149.94,-17978.86,-15996.22
1237794.9653,-22200.87,-28145.6,-17981.48,-15991.02
1237794.9693,-22202.78,-28159.76,-17982.01,-16007.95
1237794.9733,-22200.92,-28155.43,-17981.1,-16006.76
1237794.9773,-22203.83,-28167.2,-17986.4,-16006.52
1237794.9813,-22204.54,-28157.43,-17982.53,-15996.93
1237794.9853,-22209.22,-28151.13,-17987.11,-15991.45
1237794.9893,-22209.69,-28158.48,-17985.97,-15991.64
1237794.9933,-22214.27,-28157.33,-17984.73,-15996.79
1237794.9973,-22221.42,-28175.79,-17987.49,-16014.72
1237795.0013,-22222.86,-28172.54,-17984.34,-16023.97
1237795.0053,-22217.56,-28157.33,-17979.1,-16010.86
1237795.0093,-22220.33,-28163.96,-17980.53,-16006.61
1237795.0133,-22217.37,-28150.9,-17976.1,-15988.78
1237795.0173,-22212.27,-28154.33,-17973.23,-15982.53
1237795.0213,-22206.98,-28141.98,-17968.75,-15972.81
1237795.0253,-22200.16,-28128.53,-17965.61,-15961.51
1237795.0293,-22205.64,-28144.03,-17975.14,-15979.86
1237795.0333,-22209.03,-28147.18,-17987.59,-15985.4
1237795.0373,-22210.6,-28160.77,-17993.5,-15992.26
1237795.0413,-22211.03,-28158.05,-17996.36,-15993.12
1237795.0453,-22210.74,-28149.23,-17994.74,-15986.06
1237795.0493,-22215.8,-28162.34,-18001.27,-15996.08
1237795.0533,-22224.81,-28175.07,-18013.29,-16019.97
1237795.0573,-22234.73,-28199.53,-18024.73,-16040.99
1237795.0613,-22225.33,-28180.79,-18007.95,-16019.82
1237795.0653,-22226.0,-28173.26,-18004.09,-16017.39
1237795.0693,-22237.64,-28195.43,-18017.15,-16039.66
1237795.0733,-22233.77,-28179.93,-18011.67,-16018.96
1237795.0773,-22232.73,-28188.47,-18011.43,-16022.78
1237795.0813,-22236.73,-28184.75,-18012.72,-16021.92
1237795.0853,-22235.59,-28172.11,-18006.14,-16009.28
1237795.0893,-22233.44,-28170.11,-17998.51,-15997.84
1237795.0933,-22235.59,-28160.19,-17996.17,-15985.11
1237795.0973,-22249.03,-28184.51,-18010.33,-16003.66
1237795.1013,-22250.99,-28187.09,-18012.34,-16018.34
1237795.1053,-22252.23,-28188.42,-18014.72,-16033.51
1237795.1093,-22247.84,-28187.71,-18006.76,-16030.65
1237795.1133,-22236.4,-28166.68,-17995.65,-16013.34
1237795.1173,-22234.63,-28179.17,-18000.84,-16018.11
1237795.1213,-22226.29,-28168.49,-17997.79,-16010.33
1237795.1253,-22222.57,-28158.1,-17999.94,-16006.52
1237795.1293,-22214.84,-28163.1,-17995.31,-16015.82
1237795.1333,-22224.05,-28172.16,-18009.43,-16030.12
1237795.1373,-22227.58,-28191.86,-18022.06,-16038.85
1237795.1413,-22202.21,-28161.15,-17998.17,-16007.14
1237795.1453,-22185.85,-28136.45,-17983.77,-15983.54
1237795.1493,-22203.02,-28161.34,-17997.08,-16008.24
