TimeStamp,ch1,ch2
340321.8226,16104.8,14930.06
340321.8266,16153.96,14971.54
340321.8306,16090.68,14909.56
340321.8346,16019.78,14842.94
340321.8386,15967.75,14792.54
340321.8426,16110.52,14930.25
340321.8466,16159.73,14977.27
340321.8506,16092.16,14915.18
340321.8546,16018.73,14843.61
340321.8586,15965.75,14792.4
340321.8626,16114.0,14935.92
340321.8666,16161.83,14977.89
340321.8706,16095.45,14914.23
340321.8746,16021.92,14843.13
340321.8786,15962.55,14786.77
340321.8826,16101.7,14921.86
340321.8866,16145.9,14956.29
340321.8906,16080.91,14899.97
340321.8946,16018.44,14844.99
340321.8986,15960.36,14795.78
340321.9026,16098.93,14936.69
340321.9066,16145.66,14980.03
340321.9106,16076.04,14924.15
340321.9146,16001.8,14851.0
340321.9186,15948.39,14798.02
340321.9226,16100.17,14943.08
340321.9266,16146.85,14982.85
340321.9306,16081.91,14918.28
340321.9346,16007.38,14847.42
340321.9386,15946.58,14789.87
340321.9426,16092.92,14929.73
340321.9466,16146.85,14976.69
340321.9506,16084.48,14916.8
340321.9546,16009.28,14843.75
340321.9586,15943.34,14787.96
340321.9626,16087.44,14930.06
340321.9666,16139.7,14973.36
340321.9706,16083.0,14915.18
340321.9746,16012.81,14843.61
340321.9786,15950.16,14788.39
340321.9826,16091.21,14930.68
340321.9866,16143.75,14977.84
340321.9906,16082.57,14917.57
340321.9946,16014.63,14845.04
340321.9986,15954.78,14785.91
340322.0026,16093.45,14926.53
340322.0066,16146.47,14974.74
340322.0106,16081.14,14911.13
340322.0146,16004.42,14840.75
340322.0186,15944.24,14790.73
340322.0226,16085.39,14930.87
340322.0266,16142.99,14978.46
340322.0306,16081.95,14916.28
340322.0346,16006.9,14845.61
340322.0386,15939.14,14786.53
340322.0426,16080.33,14925.24
340322.0466,16142.08,14972.02
340322.0506,16078.66,14908.51
340322.0546,16004.37,14843.13
340322.0586,15942.24,14786.05
340322.0626,16080.57,14922.19
340322.0666,16135.98,14968.35
340322.0705,16070.51,14902.74
340322.0745,16004.95,14842.23
340322.0785,15940.53,14786.1
340322.0825,16081.14,14923.29
340322.0865,16136.6,14972.93
340322.0905,16074.09,14910.22
340322.0945,16000.37,14837.65
340322.0985,15935.38,14782.14
340322.1025,16077.0,14920.05
340322.1065,16136.08,14972.59
340322.1105,16074.18,14912.37
340322.1145,16001.75,14841.27
340322.1185,15937.71,14783.19
340322.1225,16077.43,14923.24
340322.1265,16133.64,14974.07
340322.1305,16071.42,14911.56
340322.1345,16003.52,14846.57
340322.1385,15939.71,14787.68
340322.1425,16073.37,14913.94
340322.1465,16128.97,14962.2
340322.1505,16073.85,14911.89
340322.1545,16005.9,14850.52
340322.1585,15942.72,14799.26
340322.1625,16074.95,14935.54
340322.1665,16132.5,14982.99
340322.1705,16066.84,14910.37
340322.1745,16002.08,14845.99
340322.1785,15942.38,14790.73
340322.1825,16081.72,14930.44
340322.1865,16146.71,14984.42
340322.1905,16082.48,14921.86
340322.1945,16010.43,14852.33
340322.1985,15943.2,14789.15
340322.2024,16077.43,14922.95
340322.2064,16136.36,14977.79
340322.2104,16070.94,14913.23
340322.2144,15997.13,14838.51
340322.2184,15937.14,14784.15
340322.2224,16077.71,14924.91
340322.2264,16139.41,14975.74
340322.2304,16076.14,14910.99
340322.2344,16002.42,14840.37
340322.2384,15931.42,14778.33
340322.2424,16065.22,14913.66
340322.2464,16130.21,14967.16
340322.2504,16066.36,14904.41
340322.2544,15994.88,14840.27
340322.2584,15927.22,14777.33
340322.2624,16063.41,14911.37
340322.2664,16126.92,14968.06
340322.2704,16069.65,14909.17
340322.2744,16001.66,14844.47
340322.2784,15933.32,14776.66
340322.2824,16070.89,14911.84
340322.2864,16137.65,14974.55
340322.2904,16070.51,14911.7
340322.2944,16001.46,14849.04
340322.2984,15932.51,14787.96
340322.3024,16063.88,14917.76
340322.3064,16130.88,14973.4
340322.3104,16070.75,14908.6
340322.3144,16004.99,14841.27
340322.3184,15938.24,14783.1
340322.3224,16070.8,14917.71
340322.3264,16134.98,14972.31
340322.3304,16067.79,14906.5
340322.3343,15997.08,14839.13
340322.3383,15923.41,14776.9
340322.3423,16055.44,14908.7
340322.3463,16125.49,14966.3
340322.3503,16065.79,14907.41
340322.3543,15995.08,14837.31
340322.3583,15924.5,14771.13
340322.3623,16063.69,14911.22
340322.3663,16126.54,14968.3
340322.3703,16065.27,14903.26
340322.3743,15999.8,14836.5
340322.3783,15932.56,14776.04
340322.3823,16064.46,14910.65
340322.3863,16129.3,14969.02
340322.3903,16066.6,14902.88
340322.3943,15998.41,14834.22
340322.3983,15930.46,14773.13
340322.4023,16063.36,14904.26
340322.4063,16136.12,14967.82
340322.4103,16065.89,14904.64
340322.4143,15998.32,14841.94
340322.4183,15929.13,14781.05
340322.4223,16060.21,14911.61
340322.4263,16128.45,14973.55
340322.4303,16072.66,14918.0
340322.4343,16008.09,14851.52
340322.4383,15934.99,14782.05
340322.4423,16063.02,14911.27
340322.4463,16130.12,14973.98
340322.4503,16069.8,14911.84
340322.4543,15999.37,14841.42
340322.4583,15921.36,14768.89
340322.4623,16055.97,14897.21
340322.4662,16130.69,14970.02
340322.4702,16069.8,14909.65
340322.4742,16005.23,14844.9
340322.4782,15935.76,14780.52
340322.4822,16067.46,14914.56
340322.4862,16135.74,14978.79
340322.4902,16073.37,14916.28
340322.4942,16007.38,14850.48
340322.4982,15935.04,14778.9
340322.5022,16062.74,14907.89
340322.5062,16134.65,14974.69
340322.5102,16070.61,14908.98
340322.5142,16002.13,14848.57
340322.5182,15931.27,14784.24
340322.5222,16060.88,14909.65
340322.5262,16136.89,14975.36
340322.5302,16073.47,14913.47
340322.5342,16001.08,14845.66
340322.5382,15925.12,14775.47
340322.5422,16055.16,14906.07
340322.5462,16131.69,14972.59
340322.5502,16067.84,14912.51
340322.5542,16000.18,14847.33
340322.5582,15927.51,14777.81
340322.5622,16054.16,14905.36
340322.5662,16127.11,14971.54
340322.5702,16071.7,14915.94
340322.5742,16005.99,14851.1
340322.5782,15933.99,14782.76
340322.5822,16061.93,14913.13
340322.5862,16133.45,14977.27
340322.5902,16069.89,14913.8
340322.5942,15999.75,14847.38
340322.5982,15923.79,14776.37
340322.6022,16055.3,14904.98
340322.6062,16132.98,14978.65
340322.6102,16068.7,14914.51
340322.6142,15995.17,14843.42
340322.6182,15922.36,14778.81
340322.6222,16051.58,14907.74
340322.6262,16128.97,14975.5
340322.6302,16066.93,14909.75
340322.6342,15994.12,14844.99
340322.6382,15921.12,14777.61
340322.6422,16051.72,14905.26
340322.6462,16125.59,14974.74
340322.6502,16064.22,14915.85
340322.6542,15997.84,14851.29
340322.6582,15922.26,14777.23
340322.6622,16041.9,14895.82
340322.6662,16115.95,14968.35
340322.6702,16062.55,14914.23
340322.6742,15992.74,14850.67
340322.6782,15914.11,14776.52
340322.6822,16041.52,14900.88
340322.6862,16123.82,14976.55
340322.6902,16067.89,14916.23
340322.6942,16004.61,14851.24
340322.6982,15927.56,14780.24
340322.7022,16050.96,14904.41
340322.7062,16130.93,14977.65
340322.7102,16065.5,14910.13
340322.7142,15999.37,14846.28
340322.7182,15927.13,14781.29
340322.7222,16050.67,14908.32
340322.7262,16131.31,14980.7
340322.7301,16067.36,14918.95
340322.7341,15999.94,14856.77
340322.7381,15924.88,14784.53
340322.7421,16047.91,14908.7
340322.7461,16124.92,14978.79
340322.7501,16061.93,14912.32
340322.7541,15999.37,14845.8
340322.7581,15920.31,14772.23
340322.7621,16040.04,14897.16
340322.7661,16125.35,14978.22
340322.7701,16058.92,14915.52
340322.7741,15988.73,14848.62
340322.7781,15909.77,14775.04
340322.7821,16035.27,14901.78
340322.7861,16118.19,14972.5
340322.7901,16059.73,14912.42
340322.7941,15995.31,14847.14
340322.7981,15914.49,14767.36
340322.8021,16038.32,14897.87
340322.8061,16121.48,14977.12
340322.8101,16049.1,14909.89
340322.8141,15984.44,14847.57
340322.8181,15909.2,14776.23
340322.8221,16036.08,14900.02
340322.8261,16121.2,14972.35
340322.8301,16062.26,14913.23
340322.8341,15998.89,14852.1
340322.8381,15922.02,14776.8
340322.8421,16043.57,14897.3
340322.8461,16125.87,14969.68
340322.8501,16063.69,14908.55
340322.8541,15997.13,14849.14
340322.8581,15919.83,14774.85
340322.862,16038.56,14897.25
340322.866,16118.39,14969.88
340322.87,16054.35,14911.13
340322.874,15985.2,14849.24
340322.878,15912.87,14778.19
340322.882,16033.27,14898.92
340322.886,16116.43,14973.4
340322.89,16060.07,14914.09
340322.894,15998.89,14851.86
340322.898,15914.87,14773.42
340322.902,16033.75,14895.87
340322.906,16119.39,14977.46
340322.91,16059.31,14916.33
340322.914,15991.83,14851.71
340322.918,15917.02,14777.76
340322.922,16036.85,14898.3
340322.926,16120.48,14978.08
340322.93,16059.07,14915.56
340322.934,15997.27,14852.05
340322.938,15918.07,14775.56
340322.942,16037.99,14894.96
340322.946,16126.78,14975.07
340322.95,16064.65,14912.03
340322.954,15996.03,14846.04
340322.958,15912.34,14769.65
340322.962,16034.75,14895.44
340322.966,16128.97,14978.22
340322.97,16064.65,14914.66
340322.974,15994.03,14853.43
340322.978,15914.39,14776.8
340322.982,16028.64,14891.44
340322.986,16116.76,14972.12
340322.99,16063.26,14917.18
340322.9939,15999.56,14853.43
340322.9979,15912.87,14773.04
340323.0019,16024.97,14890.91
340323.0059,16113.57,14971.5
340323.0099,16058.11,14913.56
340323.0139,16003.28,14858.63
340323.0179,15922.26,14782.72
340323.0219,16033.32,14896.73
340323.0259,16121.68,14973.02
340323.0299,16062.4,14911.46
340323.0339,15996.22,14856.05
340323.0379,15916.92,14776.95
340323.0419,16034.75,14895.63
340323.0459,16127.49,14979.46
340323.0499,16064.5,14912.85
340323.0539,16000.32,14851.95
340323.0579,15922.69,14780.19
